Year,LandAndOceanAverageTemperature
1940,17.123
1913,14.957
1864,14.140999999999998
1977,14.639
1913,13.624
1858,15.833
1957,16.215999999999998
1857,16.459
2006,14.435
1935,13.55
1876,14.95
1888,13.608
1990,17.246000000000002
1963,14.357
1866,13.467
1862,13.784
1971,15.227
1856,15.640999999999998
1909,16.496000000000002
1873,14.879
1927,16.742
1961,16.987000000000002
1939,13.537999999999998
1877,15.854
1985,15.356
1950,16.124000000000002
1858,13.220999999999998
1906,13.25
1883,13.106
1916,14.919
2012,16.882
2013,14.359000000000002
1873,14.094
1902,14.958
1939,16.892
1969,13.747
1939,16.174
1942,14.538
1990,14.1
1886,13.175999999999998
1864,14.972000000000001
2000,17.243000000000002
1857,14.481
1988,16.976000000000006
1993,17.155
1976,16.864
1973,14.14
1857,13.367
1966,13.683
1855,15.829
1975,13.620999999999999
1875,16.637999999999998
1864,13.275
2006,17.479
1899,16.689
1858,13.263
1894,14.036
1958,16.619
1995,14.713
1986,16.938
1862,16.349
1890,15.02
1925,13.157
1985,16.136
2015,14.564
1866,14.713
1940,16.945999999999998
1930,13.26
1955,13.718
1893,14.870999999999999
1913,14.123
1958,13.880999999999998
1890,13.367
1983,14.648
2012,16.019000000000002
1948,13.54
1853,13.829
1896,14.187
1852,16.619
1850,13.588
1965,16.803
1862,14.044
1890,13.803
1968,16.155
1925,15.855
1920,16.692999999999998
1906,16.436
1875,15.792
1933,14.130999999999998
1906,14.054
1889,15.116
1856,15.813
1874,14.91
1871,15.061
1991,15.619000000000002
2000,15.588
1861,16.715999999999998
1893,15.932
1851,16.058
1925,14.418
1850,16.783
1901,16.441000000000006
1996,17.22
1854,15.793
1918,14.297
2010,14.117
1904,14.755
1938,14.491
1864,15.85
1987,15.447
1961,13.664
1893,13.23
1967,14.353
1860,16.338
1943,16.95
1958,15.359000000000002
1897,16.676000000000002
1934,16.851
1976,15.167
1886,13.877
1914,16.421000000000006
2000,17.242
1878,16.016
1926,16.8
1977,16.846
1922,13.177
1862,15.708
1895,13.513
1978,13.587
1935,14.269
1907,14.15
1863,13.296
1922,16.745
1917,16.239
1954,16.851
1985,15.476
1926,13.739
1883,15.054
1997,16.766000000000002
1973,16.795
1926,16.766000000000002
1955,15.882
1989,16.121
1869,13.947
1873,15.821
2009,17.427
1912,15.065
1928,13.568
1897,14.047
1974,16.912
1942,15.358
1863,13.634
1919,15.117
1995,13.951
1893,16.788
1993,16.926000000000002
1943,16.123
2000,13.968
1869,13.307
1891,15.844
1909,12.839
2001,15.808
1924,13.302999999999999
1869,14.255
1882,16.355999999999998
1988,16.348
1955,16.148
1891,13.298
1960,13.956
1922,16.532
1971,16.846
1904,15.768
1891,14.918
1987,13.758
1946,13.528
1967,16.665000000000006
1877,16.594
1867,16.147000000000002
1896,15.27
1882,16.678
2004,16.745
1857,13.829
1911,15.799
1890,16.25
2002,16.605
1917,16.580000000000002
1904,12.957
1983,13.979
2009,14.298
1949,16.063
1852,16.038
1943,14.53
1888,13.972
1956,13.704
1912,13.928
1969,14.575999999999999
1938,16.871
1984,16.385
1961,14.609000000000002
1854,14.945
1944,15.623
1982,14.068
1951,14.422
1984,15.368
1880,16.400000000000002
1855,13.215
1924,16.461000000000002
1904,16.525000000000002
2012,14.138
1888,15.318
1923,16.54
1859,13.33
1874,13.425999999999998
1994,14.713
1929,15.248
1939,15.232000000000001
1979,14.565
1885,13.327
1963,15.587
2009,17.26
1953,14.561
1909,15.849
1973,16.267
1909,14.941
