Year,LandAverageTemperature,LandMaxTemperature,LandMinTemperature
1864,1.551,7.0710000000000015,-3.848
1908,11.977,17.781000000000006,5.977
1996,13.681,19.405,7.854
1964,10.905,16.801000000000002,5.202000000000001
1878,13.796,19.355999999999998,7.461
1890,7.738999999999999,13.672,1.641
1934,8.016,13.996,1.8530000000000002
1932,14.372,20.093,8.416
1885,12.716,18.762,6.492000000000001
1941,2.7350000000000003,8.347999999999999,-3.01
1851,4.973,7.9510000000000005,-1.345
1927,2.372,7.935,-3.5120000000000005
1858,13.677,18.561,7.888
1970,13.513,19.368,7.599
1924,2.888,8.609,-3.0250000000000004
1895,9.117,15.159,2.878
1966,9.152999999999999,14.777,3.555
2014,3.732,9.327,-1.7550000000000003
2011,14.37,20.230999999999998,8.48
1992,5.952000000000001,11.692,0.2529999999999999
1936,13.86,19.691,7.9289999999999985
1910,4.606,10.780999999999999,-1.675
1955,9.735,15.446,3.923
1867,4.4540000000000015,10.572,-1.195
1883,7.690999999999999,13.967,1.4680000000000002
1889,1.7619999999999998,7.377000000000002,-4.053000000000001
1928,14.31,20.005,8.189
1999,12.722999999999999,18.472,7.109
2009,12.111999999999998,18.01,6.141
1877,12.075,17.930999999999994,5.9670000000000005
1905,10.982,16.945999999999998,4.819000000000001
1883,14.011,20.457,7.7189999999999985
1865,13.58,19.111,7.594999999999999
1899,2.515,8.443,-3.2620000000000005
1851,14.531,17.102999999999998,7.425
1859,11.456,17.021,5.277
2011,3.743,9.435,-1.906
1967,2.71,8.395,-2.869
1964,13.678,19.386,8.049999999999999
1979,4.6,10.0,-0.6690000000000002
1923,10.848999999999998,16.825000000000006,4.790000000000001
1937,3.478,8.999,-2.196
1854,5.745,10.707,-1.406
2008,4.385,9.834,-0.946
1886,1.436,7.023,-3.755
1922,6.046,11.615,0.23199999999999998
1894,10.944,16.929000000000002,4.6110000000000015
2007,4.221,10.039,-1.5030000000000001
1966,13.731,19.627,8.087
2004,9.249,15.132,3.285
1876,11.687,17.667,5.687
1952,11.352,17.289,5.394
1873,11.486999999999998,16.979000000000006,5.297999999999999
2002,14.084,19.912,8.184000000000001
1937,9.729,15.635,4.002
1869,14.01,19.663,7.947999999999999
1969,9.488999999999999,14.888,4.05
1869,7.9209999999999985,13.787,1.297
1898,3.407,9.443,-2.096
1887,2.0540000000000003,8.142999999999999,-4.0470000000000015
1855,2.522,8.219999999999999,-3.125
1972,11.155,16.968,5.3610000000000015
1863,2.651,8.55,-2.5860000000000003
1903,8.812000000000003,14.634,2.895
1956,2.466,7.909,-3.055
1879,2.5380000000000003,8.173,-3.531
1947,3.656,9.086,-1.784
1987,6.056,11.517999999999999,0.71
1898,2.737,8.35,-2.885
2003,4.085,9.749,-1.4800000000000002
1911,2.4530000000000003,8.15,-3.664
1912,13.723,19.729,7.915999999999999
1896,13.624,19.572,7.274999999999999
1928,3.0460000000000003,8.290999999999999,-2.6310000000000002
1889,8.588999999999999,14.392,2.502
1901,3.092,9.038,-2.678
1852,13.304,17.567,7.4289999999999985
1981,11.565,17.471,5.9010000000000025
1902,14.231,20.2,7.965
1951,2.138,7.77,-3.5210000000000004
1875,4.256,10.673,-2.207
1941,3.707,9.076,-1.87
1901,11.984000000000002,17.929000000000006,5.819
2015,10.800999999999998,16.45,5.231999999999998
1972,5.287000000000001,11.169,-0.672
1866,4.152,8.676,-2.9530000000000003
1951,13.25,19.16,7.312
1976,4.517,10.305,-1.2040000000000002
1865,9.136,15.281,3.345
1987,13.927,19.660999999999998,8.105
1909,6.2360000000000015,11.959,0.32299999999999995
1998,12.290999999999999,18.182000000000002,6.372000000000001
1937,12.412999999999998,18.377,6.419
1902,11.799,17.897000000000006,5.555
1873,4.704,11.105,-1.761
1885,4.622,10.56,-2.023
2007,15.23,21.108,9.482
1854,3.457,8.506,-3.397
1887,14.021,19.899,8.199
2003,3.981,9.558,-1.481
1966,12.133,18.028,6.482
1884,2.474,8.292,-3.841
1903,3.555,9.297,-2.49
1868,11.308,17.059,4.8610000000000015
1850,13.15,18.945999999999998,7.106
1955,4.585,10.377,-1.4269999999999998
1931,2.761,8.059,-2.897
1940,5.424,11.402,-0.622
1852,7.486999999999999,11.249,0.6469999999999998
1976,10.941999999999998,16.727999999999998,5.176
1879,9.229,14.744000000000002,2.747
2008,3.576,9.351,-2.1060000000000003
1968,3.245,8.879999999999997,-2.319
1932,11.239,16.865000000000002,5.2250000000000005
1862,1.7690000000000001,7.407,-4.346
1892,9.29,15.08,3.347
1943,3.513,9.468,-2.37
1892,11.764,17.858,5.5520000000000005
1978,13.22,18.891,7.7150000000000025
1993,8.69,14.585,2.823
1966,5.9689999999999985,11.58,0.412
1909,3.2230000000000003,8.763,-2.353
1895,14.053,19.614,7.875
1913,2.083,7.6549999999999985,-3.657
1854,4.698,10.469,-1.413
1880,7.5589999999999975,14.082,1.2979999999999998
1874,11.306,16.969,4.667000000000002
1974,8.386000000000001,14.179,2.59
1956,7.9220000000000015,13.848,2.043
1965,3.766,9.235,-1.5430000000000001
1926,3.366,8.629999999999999,-2.248
1914,3.6,8.764,-1.624
1946,13.834,19.783,7.9979999999999976
1951,9.67,15.149,4.047
1991,14.263,19.903,8.509
1963,3.75,9.346,-1.666
1883,10.832,16.898,4.793
1935,13.775,19.657,7.830999999999999
2004,13.889,19.66,8.035
1873,3.846,8.847999999999997,-2.628
1917,14.259,20.083,8.377
2011,15.012,20.921999999999997,9.207999999999998
1956,13.16,18.939,7.309
2015,3.8810000000000002,9.432,-1.5180000000000002
1967,5.396,11.222,-0.35600000000000004
1918,13.431,19.326,7.491999999999999
1956,10.720999999999998,16.734,5.083
1978,5.607,11.344,-0.07400000000000001
1925,4.398,10.011,-1.4700000000000002
1890,4.21,10.474,-2.1710000000000003
1938,3.51,8.922,-2.0010000000000003
2002,15.354000000000001,21.199,9.409
1992,4.075,9.455,-1.0630000000000002
1946,8.837,14.909,2.7110000000000003
1913,10.745,16.815,4.652
1862,0.685,7.360999999999999,-4.11
1958,11.518999999999998,17.355,5.625
1955,14.242,19.959,8.579
1991,6.44,11.862,1.121
1981,6.239,12.05,0.5539999999999999
1888,2.039,7.898,-3.555
1863,13.765,18.095,8.307
1861,0.4040000000000004,7.7429999999999986,-3.2560000000000002
1901,8.522,14.733,2.264
1989,4.43,9.802,-0.8070000000000002
1975,14.351,20.051,8.637
1869,13.537,18.871,7.1960000000000015
1868,14.514,20.504,8.702
2012,9.675999999999998,15.679,3.689
1858,8.25,13.912,1.041
1927,11.104,16.998,4.873
1951,11.437999999999999,17.371000000000002,5.376
1998,6.023,11.888,0.30099999999999993
1979,13.487,19.366,7.818
1954,8.158,13.973,2.424
1947,14.349,20.126,8.35
1870,14.599,20.29,8.850999999999997
1952,13.964,19.753,8.161
1929,2.571,7.769,-2.9450000000000003
1975,3.667,9.079,-1.636
1899,11.023,17.132,4.9670000000000005
1907,5.207000000000002,10.71,-0.5570000000000002
1996,4.325,9.82,-1.089
1969,13.804,19.628,8.123999999999999
1976,13.085999999999999,18.954,7.3450000000000015
1972,14.171,19.88,8.386000000000001
1977,3.471,9.135,-2.152
2013,6.261,12.328,0.17400000000000004
1994,13.977,19.808,8.274
1945,14.313,20.189,8.412999999999998
1915,3.633,9.515,-2.069
2007,4.523,9.873,-0.6840000000000002
1912,13.435,19.351,7.166
1980,6.684,12.196,1.334
1970,8.603,14.383,2.739
1863,13.294,18.408,7.8329999999999975
2011,6.101,11.963,0.3140000000000001
1886,12.789,19.145,6.5600000000000005
1884,13.257,19.317999999999998,7.250999999999999
2000,9.552,15.534,3.68
2014,14.875,20.79,9.047
1873,3.195,8.591000000000001,-3.719
1988,14.798,20.466,9.186
2008,2.8440000000000003,8.155,-2.383
2004,14.188,20.011,8.382
1975,13.514,19.248,7.891999999999999
1965,11.222,17.168000000000006,5.2620000000000005
1929,12.927999999999999,18.65,6.908
1921,5.864,11.362,0.2
1917,11.745,17.669,5.796
2003,5.132999999999999,10.545,-0.17900000000000005
1964,7.9220000000000015,13.794,2.152
1972,2.609,8.219,-3.115
1992,3.579,8.914,-1.6550000000000002
2000,6.2189999999999985,12.204999999999998,0.3759999999999999
1985,3.01,8.385,-2.22
1992,9.353,15.152,3.676
2001,4.507,9.841,-0.685
1945,8.681000000000001,14.727,2.6010000000000004
1947,2.597,8.109,-2.992
1878,3.728,9.483,-1.7140000000000002
1889,11.547,17.455000000000002,5.635
1867,3.937,8.312999999999999,-3.678
2011,11.985999999999999,17.917,6.0230000000000015
1896,2.707,8.447000000000001,-3.367
1990,6.73,12.658,1.0359999999999998
1943,13.161,19.035999999999998,7.314
1879,5.526,11.549,-0.5
1875,11.319,17.713,5.172999999999999
1929,2.1719999999999997,7.837999999999999,-3.883
1867,6.939,11.142999999999999,-0.7959999999999999
1944,5.5310000000000015,11.517,-0.4
1858,10.850999999999999,16.258000000000006,3.8640000000000008
1913,13.005,19.075,6.6670000000000025
1954,3.5589999999999997,8.915,-1.7730000000000001
1968,3.24,8.551,-2.116
1881,2.4610000000000003,7.3439999999999985,-3.687
1998,3.3520000000000003,8.555,-1.7760000000000002
1850,4.7330000000000005,11.388,-0.12
2010,9.671,15.616,3.759
1922,2.376,8.234,-3.684
2002,4.704,10.435,-0.9480000000000002
