Year,AverageTemperature
1974,26.149
1909,25.47
1945,25.541
1987,25.922
1904,33.126999999999995
1972,-6.275
2009,28.224
2013,10.011
1951,33.531
2007,27.950000000000006
1872,11.08
1883,16.3
1982,17.284000000000002
1956,17.659000000000006
1794,5.3500000000000005
1883,18.944000000000003
1892,24.68
1841,21.948
1992,21.997
1912,26.912
1880,15.625
1905,18.522
1989,16.381
2013,29.94
1912,23.939
1855,3.547
1944,-2.2810000000000006
1834,25.579
1787,22.637
1866,19.36
1995,32.804
1877,20.284
1876,19.705
1923,22.046
1814,15.666
1802,0.628
1876,16.323
1946,16.377
1990,32.779
1824,6.144
1883,22.018
1907,14.019
1947,14.618
1976,22.758000000000006
1992,22.682
1967,30.971
1834,22.146
1906,25.37
1992,21.22
1925,18.413
2008,22.863000000000003
1980,31.558
1966,7.455
2000,14.486
1789,-10.324000000000002
1920,25.067
1918,24.423
1909,32.58300000000001
1849,-2.306
1868,28.318
1938,19.874
1861,10.778
1982,31.136000000000006
2007,33.921
1851,20.957
1983,17.072
1774,5.3580000000000005
1860,19.373
1975,21.947
1760,15.501
1878,-4.57
1955,23.471
1893,2.987
2001,23.175
1820,9.651
1995,33.075
1893,24.952
1979,24.619
1904,32.629
1815,19.99
1832,20.423
1843,27.817
1958,20.777
2006,27.222
1876,8.294
1857,18.789
1967,4.397
1967,27.582
1962,9.836
1880,20.889000000000006
1882,26.692
1758,-4.914
1888,14.343
1898,21.023000000000003
1926,34.189
1994,8.548
1915,26.093000000000004
1994,21.184
1953,25.85
1959,28.122
2012,20.428
1928,33.017
2001,-7.317
2012,31.121
1937,2.607
1887,11.493
1978,30.461
1980,19.957
1924,19.051
1986,20.37
2003,24.063
1977,23.459
1935,4.752
1946,9.047
1964,12.279000000000002
1982,3.681
1989,22.0
1888,8.182
2004,17.204
1924,19.352
1839,-5.424
1983,29.033
1984,-6.9110000000000005
2012,16.217
2008,32.85
1950,19.462
1976,5.872999999999999
1849,2.474
1848,3.537
1974,29.346
1990,26.558000000000003
1989,23.783
1890,13.8
1873,13.742
1974,25.682
1902,-3.727
1919,-0.0559999999999998
1857,3.77
1745,-2.6710000000000003
1872,27.04
1979,5.391
1971,21.878
2008,5.292000000000001
1937,20.5
1949,34.15
1958,18.054
1933,-0.8190000000000001
1802,27.083
1986,20.709
1970,26.876
1948,26.903
1911,14.406
1913,17.548
1967,32.703
1885,12.470999999999998
1839,25.652
1943,22.285
1778,9.321
1960,27.764
1831,5.449
1984,20.519
1893,26.806
1989,16.074
1803,11.005999999999998
1917,19.667
1821,18.487
1836,24.543000000000006
1935,34.808
1884,27.362
1990,24.017000000000003
1929,4.802
1874,25.175
1953,5.005000000000001
1774,19.858
2004,25.274
1901,15.880999999999998
2002,-16.137999999999998
1992,26.367
1983,26.088
1936,15.736999999999998
1863,4.423
2009,-8.461
1798,32.284
1896,16.632
1892,13.108
1829,21.474
1933,21.928
1941,27.817
1915,19.897
1853,27.668000000000003
